lAboutText1	~1~ ~2~ (~3~ bit)
lDialogGroupManageAbout	A proposito dei Gruppi
lDialogGroupManageCannotSave	Avviso: Non c'è nessuna cartella aperta per formare un nuovo Gruppo. Apri almeno una finestra di Windows Explorer o Directory Opus e riprova a salvare il nuovo gruppo.
lDialogGroupManageCreatingPrompt	Per creare un Gruppo, puoi cliccare il tasto qui sotto: "~1~", oppure puoi selezionare in qualunque momento il menù: "~2~".
lDialogGroupManageCreatingTitle	Crea un Gruppo di cartelle
lDialogGroupManageGroupsTitle	Gestione Gruppi - ~1~ ~2~
lDialogGroupManageIntro	Con "Gruppi" puoi salvare e ripristinare il tuo spazio di lavoro per spostarti agevolmente tra le tue sessioni di lavoro. "Gruppi" memorizza cartella, dimensione, posizione e stato (normale, minimizzato o massimizzato) delle finestre di Windows Explorer e Directory Opus (Total Commander non ancora supportato).
lDialogGroupManageManagingTitle	Gestione Gruppi
lDialogGroupNew	Salva un nuovo Gruppo
lDialogGroupRemoveTitle	Elimina Gruppo - ~1~
lDialogGroups	Gruppi
lDialogGroupSelect	Seleziona un Gruppo
lDialogGroupSelectError	Per favore, seleziona il Gruppo da ~1~.
lDialogIcon	Icona
lDialogInvalidHotkey	Con il tuo attuale layout di tastiera di sistema, non è stato possibile usare l'hotkey "~1~" per aprire il popup menù (errore: tasto scelto non valido).`n`nPer favore, apri la finestra "~2~ Impostazioni" dal menù dell'icona nell'area notifiche e clicca: "Opzioni". In questa casella di dialogo, scegli un altro shortcut per "~3~".
lDialogMaximized	Massimizzata
lDialogMenuNotMoveUnderItself	Il menù "~1~" non può essere posizionato sotto se stesso.
lDialogMinimized	Minimizzato
lDialogMoveFavoritesTitle	Sposta i Preferiti - ~1~ ~2~
lDialogNormal	Normale
lDialogOpenThisMenu	Apri questo menù
lDialogRemoveMultipleFavorites	Vuoi davvero eliminare ~1~ preferiti / sottomenù?
lDialogSave	Salva
lDialogSelectItemToEdit	Per favore, seleziona la voce da modificare.
lDialogSelectItemToRemove	Per favore, seleziona la voce da eliminare.
lDialogSpecialLabel	Special Folder
lDialogSubmenuLabel	Sottomenù
lDialogSubmenuNameEmpty	Il nome del sottomenù non può essere vuoto. Si prega di inserire un nome.
lDialogSubmenuParentMenu	Scegli il menù in cui inserirlo
lDialogSubmenuShortName	Nome breve del sottomenù (voce menu)
lDialogTabNext	Seguente
lDialogThirdPartyDetected	~1~ ha riscontrato che ~2~ è installato nel tuo sistema.`n`nVuoi abilitare l'integrazione con ~2~?
lDialogURLLabel	Link (URL)
lDialogURLShortName	Nome breve del Link (voce menù)
lDialogWorkingDirLabel	Avvia in
lDonateButton	Supporta il Freeware!
lDonateCheckPrompt	Sei soddisfatto di ~1~?`n`n~1~ non solo è GRATUITO ma anche PRIVO di fastidiosi annunci o adware, che non si è mai sicuri che non nascondano spyware o malware.`n`nAl momento, per ~2~ volte ~1~ ti ha aiutato nelle tue attività quotidiane. Che ne diresti adesso di fare un'offerta a titolo di supporto del programma?
lDonateCheckTitle	~1~ volte! - ~2~
lDonateMenu	S&upporta il Freeware!
lDonatePlatformComment1	Nel modo più flessibile, usando il tuo account PayPal o la tua carta di credito.
lDonatePlatformComment2	Ricevi un invio ufficiale, se ne hai bisogno per fartelo rimborsare.
lDonatePlatformName1	Usando Paypal
lDonatePlatformName2	Usando Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Supporta lo sviluppo di ~1~!
lDonateText2	<a href="~1~">Perchè supportare il freeware?</a>
lDonateText3	... o supporta il freeware gratuitamente!
lDonateText4	Fai una recensione positiva di ~1~ su:
lDonateText5	Mandami il tuo link
lDonateThankyou	Grazie di supportare il freeware!
lDonateTitle	Supporta il freeware! - ~1~ ~2~
lGui2Close	Chiudi
lGuiAbout	Crediti
lGuiAddDialog	Aggiungi
lGuiAddFavorite	Aggiungi
lGuiCancel	&Annulla
lGuiClose	&Chiudi
lGuiDonate	Supporto
lGuiDropFilesHelp	Drag and Drop (promemoria)
lGuiDropFilesIncentive	Puoi trascinare i seguenti tipi di preferiti`nsulla finestra ~1~:`n`n- ~2~`n- ~3~
lGuiEditFavorite	Modifica
lGuiGroupClosing	Chiusura delle finestre
lGuiGroupOf	di
lGuiGroupSaveAddWindowsLabel	Aggiungi a finestre esistenti
lGuiGroupSaved	Gruppo "~1~" salvato.`n`nClicca il menù "~2~" per aprire questo gruppo.
lGuiGroupSaveDeselectAll	Deseleziona Tutti
lGuiGroupSaveEditPrompt	~1~ questo gruppo
lGuiGroupSaveEditTitle	~1~ gruppo di finestre - ~2~ ~3~
lGuiGroupSaveLvHeader	Percorso|Applicazione|Stato della Finestra|Sinistra|Alto|Larghezza|Altezza|Lato
lGuiGroupSaveNameEmpty	Il nome del gruppo non può essere vuoto. Si prega di inserire un nome.
lGuiGroupSaveNewGroup	Nuovo Gruppo
lGuiGroupSaveReplaceGroup	Group "~1~" esiste già. Vuoi sostituirlo?
lGuiGroupSaveReplaceWindowsLabel	Sostituisci le finestre esistenti
lGuiGroupSaveRestoreOption	Nel ripristinare questo gruppo:
lGuiGroupSaveSelect	Seleziona le cartelle da salvare in questo gruppo
lGuiGroupSaveSelectAll	Seleziona Tutti
lGuiGroupSaveSelectExisting	o seleziona un Gruppo da sovrascrivere:
lGuiGroupSaveShortName	Nome breve del gruppo (voce menù)
lGuiHelp	Aiuto
lGuiHotkeysHelp	Organizzazione Preferiti (scorciatoie)
lGuiHotkeysHelpText	Freccia-Su: Seleziona il Preferito precedente`nFreccia-Giù: Seleziona il Preferito successivo`nCtrl+N: Aggiungi un nuovo Preferito`nInvio: Modifica il Preferito evidenziato`n`nShift+Su/Giù: Seleziona Preferiti contigui`nCtrl+ClickSinistro: Seleziona Preferiti non contigui`nCtrl+A: Seleziona tutti i Preferiti`n`nCtrl+Su: Sposta in su il Preferito(i)`nCtrl+Giù: Sposta in giù il Preferito(i)`nCanc: Elimina il Preferito(i)`n`nCtrl+Sinistra: Risali nel sottomenù superiore`nCtrl+Destra: Scendi nel sottomenù inferiore
lGuiLvDialogsHeader	Caselle di Dialogo supportate`n(sono ammessi anche nomi incompleti) 
lGuiLvFavoritesHeader	Nome|Destinazione
lGuiMove	Sposta
lGuiMoveFavoriteDown	Sposta S&otto
lGuiMoveFavoriteUp	Sposta &Sopra
lGuiOptions	Opzioni
lGuiRemoveFavorite	Elimina
lGuiResetDefault	Ripristina hotkey predefinito
lGuiSave	&Salva
lGuiSeparator	Se&paratore
lGuiSubmenuDropdownLabel	Menù da modificare:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Impostazioni - ~1~ ~2~
lHelpTabAddingFavorite	Aggiungere Favoriti
lHelpTabGettingStarted	Per Cominciare
lHelpTabTitlesTipsAndTricks	Trucchi e Suggerimenti
lHelpText1	All'avvio, FoldersPopup aggiunge un icona nell'area notifiche e resta in attesa. Quando hai bisogno di cambiare la cartella corrente in Windows Explorer o in una casella di dialogo per file, semplicemente clicca il tasto centrale del mouse o premi Windows-A e, nel menù popup, seleziona la cartella desiderata. FoldersPopup ti trasferirà ad essa istantaneamente! Oppure puoi usarlo per aprire velocemente un documento preferito o una pagina web.
lHelpText2	Scegli "Impostazioni" per aprire la finestra delle Impostazioni di FoldersPopup dove puoi aggiungere al tuo menù CARTELLE, DOCUMENTI o LINK WEB preferiti. Puoi spostarli, rinominarli o eliminarli. Puoi anche aggiungere, spostare, rinominare o eliminare SOTTOMENU. E' possibile selezionarli poi dalla lista a discesa: "Menù per modifiche". Ricorda di cliccare "Salva" per salvare le modifiche.
lHelpText3	Per AGGIUNGERE velocemente una nuova CARTELLA preferita al menù popup:`n1) Vai alle cartelle usate di frequente.`n2) Clicca il tasto centrale del mouse (o premi Windows-A) e scegli "Aggiungi questa Cartella".`n3) Assegna alla cartella un nome breve, clicca "Aggiungi", e poi "Salva", nella finestra delle Impostazioni.
lHelpText4	Per AGGIUNGERE un nuovo DOCUMENTO preferito o un LINK WEB al menù popup:`n1) Apri il menù di FoldersPopup e scegli "Impostazioni" (Shift-Windows-F).`n2) Clicca il tasto "Aggiungi" e scegli l'opzione "Documento" o "Link (URL)".`n3) Dai al Preferito un nome breve, "Sfoglia" fino al documento o inserisci l'URL della pagina web, clicca "Aggiungi", e poi "Salva" nella finestra impostazioni.
lHelpText5	- Dall'area notifiche, clicca col tasto destro sull'icona di FoldersPopup e seleziona l'opzione "Esegui all'Avvio" per eseguire FoldersPopup automaticamente all'avvio di Windows.`n- Hai bisogno di una nuova finestra di Windows Explorer mentre stai lavorando in un'altra applicazione? Da qualunque finestra, tenendo premuto Shift clicca col tasto destro del mouse (o da tastiera: Shift-Windows-A), o semplicemente clicca sull'icona di FoldersPopup nell'area notifiche, e seleziona la cartella preferita che vuoi aprire.`n- Seleziona il menù "Cartelle recenti..." (Shift-Windows-R) per mostrare un elenco aggiornato delle cartelle recentemente aperte.`n- Usa "Cartelle Correnti" per aprire una delle cartelle già aperte in Windows Explorer, e "Gruppi di Cartelle" per salvare e richiamare un gruppo di cartelle.`n- Configura i metodi per aprire il menù popup: scegli il tasto del mouse da usare o le combinazioni di tasti in "Impostazioni, Opzioni".`n- Inoltre, in "Opzioni": scegli la lingua preferita, la dimensione delle icone del menù, e i colori delle finestre. Seleziona le opzioni per visualizzare le cartelle recenti, aggiungere i numeri da usare come scorciatoia da tastiera per il menù delle cartelle o fissare una posizione dove si aprirà il menù popup.`n-Utenti di Directory Opus, per informazioni aggiuntive vedere <a href="http://code.jeanlalonde.ca/using-folderspopup-with-directory-opus/"> questa pagina</a>.`n-Utenti di Total Commander, per informazioni aggiuntive vedere <a href="http://code.jeanlalonde.ca/using-folderspopup-with-total-commander/"> questa pagina</a>.
lHelpText6	Il supporto a FoldersPopup è disponibile su <a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpText7	~1~ Jean Lalonde 2013-2014. Freeware.
lHelpTextLead	FoldersPopup ti consente di spostarti come una scheggia tra le cartelle, documenti e pagine web che usi più spesso!
lHelpTitle	Aiuto - ~1~ ~2~
lMainMenuName	Principale
lMenuAbout	C&rediti
lMenuAddThisDialog	&Aggiungi Questa Casella di Dialogo all'elenco supportato
lMenuAddThisFolder	&Aggiungi Questa Cartella
lMenuAppData	Dati Applicazioni
lMenuCache	Cache
lMenuClipboard	A&ppunti di Windows
lMenuColumnBreak	colonna
lMenuCommonAppData	Dati Applicazioni (pubblica)
lMenuCommonDesktop	Desktop pubblico
lMenuCommonStartMenu	Menù Avvio (pubblico)
lMenuCommonStartupMenu	Esecuzione Automatica (pubblico)
lMenuControlPanel	Pannello di &Controllo
lMenuCookies	Cookies
lMenuDesktop	Desktop
lMenuDialogNotSupported	Questa casella di dialogo non è ancora supportata
lMenuDocuments	Documenti
lMenuDownloads	Download
lMenuExitFoldersPopup	Esci da ~1~
lMenuFavoritesInternet	Preferiti (Internet)
lMenuFoldersInExplorer	Cartelle &Correnti
lMenuFonts	Font di caratteri
lMenuFPMenu	~1~ ~2~
lMenuGroup	&Gruppi di Cartelle
lMenuGroupAdd	aggiungi
lMenuGroupLoad	Apri un gruppo
lMenuGroupReplace	sostituisci
lMenuGroupSave	Salva le Cartelle correnti come Gruppo
lMenuHelp	Aiuto
lMenuHistory	Cronologia
lMenuMenu	Menù
lMenuMyComputer	&Mio Computer
lMenuMyMusic	Musica
lMenuMyVideo	Video
lMenuNetworkNeighborhood	Rete di Wi&ndows
lMenuPictures	Immagini
lMenuProgramFiles	Programmi
lMenuProgramsFolderStartMenu	Programmi (Menù Avvio)
lMenuPublicLibraries	Raccolte Pubbliche
lMenuQuickLaunch	Avvio veloce
lMenuRecentFolders	Cartelle &Recenti
lMenuRecentItems	Oggetti Recenti
lMenuRecycleBin	&Cestino
lMenuRefreshRecent	Aggiorna Menù delle Cartelle Recenti
lMenuReservedShortcuts	SCGRPIA
lMenuReservedShortcutsDonate	U
lMenuRunAtStartup	&Esegui all'Avvio
lMenuSeparator	----------------
lMenuSettings	&Impostazioni di ~1~
lMenuSpecialExplorer	Finestra Speciale di Explorer
lMenuSpecialFolders	Cartelle &Speciali
lMenuStartMenu	Menù Avvio
lMenuStartup	Esecuzione Automatica
lMenuSuspendHotkeys	Sospendi Scorciatoie
lMenuSystemCertificates	Certificati di Sistema
lMenuTemplates	Modelli
lMenuTemporaryFiles	File temporanei
lMenuUpdate	Cerca &Aggiornamenti
lMenuUserFolder	Cartella Utente
lMenuUserPinned	Collegamenti evidenziati dall'utente
lNavigateFileError	C'è stato un errore nell'aprire la cartella:`n~1~.
lNavigateSpecialError	C'è stato un errore nell'aprire la cartella speciale #~1~.
lOopsCouldNotOpenSpecialFolder	~1~ non è riuscito ad aprire la Cartella Speciale: "~2~".
lOopsDialogBox	La casella di dialogo
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Sembra che ~1~ sia eseguito da una cartella PROTETTA-IN-SCRITTURA perchè non è stato possibile creare il file di configurazione "~1~.ini".`n`nSposta il file ~1~ .EXE in una cartella NON-PROTETTA di tua scelta e ri-eseguilo da quest'ultima.`n`n~1~ verrà chiuso.
lOopsWrongFPconnectAppPathFilename	Nome del file o percorso sbagliato nel parametro "AppPath" nella configurazione di  FPconnect:`n~1~.`n`nControlla il percorso del file .exe in "AppPath" nel file .ini di FCConnect:`n~2~
lOopsWrongThirdPartyPath	Nome del file o percorso sbagliato per ~1~:`n~2~.`n`nControlla il file .exe selezionato per ~1~ nelle "Opzioni", tab "~3~".
lOopsZipFileError	Sembra che ~1~ sia stato eseguito direttamente da un archivio .ZIP .`n`nE' necessario dapprima estrarre il file ~1~ .EXE dall'archivio .ZIP in una cartella di tua scelta prima di eseguirlo.`n`n~1~ verrà chiuso.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Scegli il tasto del MOUSE e la combinazione di modificatori da usare per aprire il menù popup in Windows Explorer o nelle caselle di dialogo. Per default, è il tasto centrale del mouse senza nessun tasto modificatore.
lOptionsArrDescriptions2	Scegli il tasto del MOUSE e la combinazione di modificatori da usare per aprire il menù popup in QUALUNQUE finestra e spostarti alla cartella selezionata in una NUOVA finestra di Windows Explorer. Per default, è il tasto centrale del mouse tenendo premuto lo Shift.
lOptionsArrDescriptions3	Scegli la scorciatoia da TASTIERA per aprire il menù popup nella finestra attiva di Windows Explorer o casella di dialogo attiva. Per default, è la combinazione Win+K (la lettera "K" tenendo premuto il tasto Windows).
lOptionsArrDescriptions4	Scegli la scorciatoia da TASTIERA per aprire il menù popup in QUALUNQUE finestra e spostarti alla cartella selezionata in una NUOVA finestra di Windows Explorer. Per default, è la combinazione Shift+Win+K (la lettera "K" tenendo premuti i tasti Shift e Windows contemporaneamente).
lOptionsArrDescriptions5	Scegli la scorciatoia o la combinazione di tasti del mouse per aprire il menù "Cartelle Recenti" di FoldersPopup. Per default, è Shift+Windows+R.
lOptionsArrDescriptions6	Scegli la scorciatoia o la combinazione di tasti del mouse per aprire la casella di dialogo "Impostazioni" di FoldersPopup. Per default, è Shift+Windows+F.
lOptionsChangeHotkey	Cambia
lOptionsChangeHotkeyTitle	Cambia scorciatoia - ~1~ ~2~
lOptionsCheck4Update	Cerca Aggiornamenti
lOptionsCtrl	Ctrl
lOptionsDirectoryOpusUseTabs	Usa i tab
lOptionsDisplayClipboardMenu	Appunti di Windows
lOptionsDisplayFoldersInExplorerMenu	Cartelle Correnti
lOptionsDisplayGroupMenu	&Gruppi di Cartelle
lOptionsDisplayIcons	Mostra &Icone nel Menù
lOptionsDisplayMenus	Mostra i Menù:
lOptionsDisplayMenuShortcuts	Mostra scorciatoie &numeriche nei Menù
lOptionsDisplayRecentFolders	Cartelle R&ecenti
lOptionsDisplaySpecialFolders	Cartelle S&peciali
lOptionsGuiTitle	Opzioni - ~1~ ~2~
lOptionsIconSize	Dimensione delle icone
lOptionsKeyboard	Tastiera
lOptionsLanguage	Lingua
lOptionsLanguageLabels	Inglese|Francese|Tedesco|Olandese|Coreano|Svedese|Italiano
lOptionsMenuActiveWindow	In alto a sinistra della finestra attiva
lOptionsMenuFixPosition	In posizione prefissata
lOptionsMenuNearMouse	Vicino al puntatore del mouse
lOptionsMenuPositionPrompt	Apri il menù popup:
lOptionsMouse	Mouse
lOptionsMouseButtonsText	Tasto Sinistro del Mouse|Tasto Centrale del Mouse|Tasto Destro del Mouse|Tasto Speciale 1 del Mouse|Tasto Speciale 2 del Mouse|Rotellina SU|Rotellina GIU'|Rotellina a Sinistra|Rotellina a Destra|
lOptionsMouseCheckLButton	Non è possibile assegnare il "Tasto Sinistro del Mouse" da solo, senza modificatore.
lOptionsMouseNone	Nessuno
lOptionsNoKeyOrMouseSpecified	Non è stato specificato alcun tasto (per il mouse o tastiera). La scorciatoia preesistente "~1~" non verrà modificata.
lOptionsOpenMenuOnTaskbar	Apri il menù nella barra delle applicazioni
lOptionsOtherOptions	Generale
lOptionsPopupFix	&Menu Popup in posizione prefissata
lOptionsPopupFixPositionX	Posizione X:
lOptionsPopupFixPositionY	Y:
lOptionsRecentFolders	Cartelle Recen&ti
lOptionsRememberSettingsPosition	Ricorda la posizione della finestra
lOptionsRunAtStartup	&Esegui all'avvio
lOptionsShift	Shift
lOptionsSpacebar	usa la barra spaziatrice
lOptionsTabFileManagersIntro	Per utenti di file manager di terze parti
lOptionsTabMouseAndKeyboardIntro	Definisci i tasti del mouse e scorciatoie da tastiera per lanciare ~1~.
lOptionsTabOtherOptionsIntro	Adatta le funzioni di FoldersPopup alle tue esigenze!
lOptionsTheme	Tema
lOptionsThirdParty	Supporto ai File Manager di terze parti
lOptionsThirdPartyDetail	Seleziona il file del programma (.exe) ~1~ per abilitare l'integrazione di ~1~ .
lOptionsThirdPartyDetailFPconnect	Seleziona il file di programma (.exe) di FPconnect per abilitare l'integrazione di altri file manager.
lOptionsThirdPartyPrompt	File del programma:
lOptionsThirdPartyTitle	~1~ utenti
lOptionsThirdPartyTitleFPconnect	Utenti di altri file manager che usano FPconnect
lOptionsTotalCommanderUseTabs	Usa i tab
lOptionsTrayTip	All'avvio, &Mostra popup dall'area notifiche
lOptionsTriggerFor	Per attivare:
lOptionsWin	Win
lPickIconButtonCustom	Personalizzato
lPickIconButtonDefault	Default
lPickIconDocumentPrompt	Selezionare un'icona a scelta o usare l'icona di default per questo tipo di documento?
lPickIconNoLocation	Seleziona il preferito prima di scegliere un'icona.
lPickIconTitle	Seleziona l'icona per ~1~ - ~2~
lReloadPrompt	~1~ cambiato in ~2~. Vuoi ricaricare ~3~ in ~2~ ora? Le modifiche non salvate al menù delle cartelle verranno perse.
lReloadPromptDefaultHotkey	Scorciatoia riportata al valore di default. Questa modifica sarà effettiva solo dopo aver ricaricato ~1~.`n`nVuoi ricaricare ~1~ ora? Le modifiche non salvate al menù delle cartelle verranno perse.
lTrayTipInstalledDetail	Per mostrare il menù ~1~, premi:`n`n~2~ / ~3~`nin Windows Explorer o in una "Casella di Dialogo"`n`n~4~ / ~5~`nper aprire una nuova finestra di Explorer
lTrayTipInstalledTitle	~1~ ~2~ è pronto!
lTrayTipWorkingDetail	Menù in costruzione...
lTrayTipWorkingDetailFinished	Il menù è stato aggiornato.
lTrayTipWorkingTitle	~1~ ~2~ in esecuzione...
lUpdateButtonRemind	Ricordamelo più tardi
lUpdateError	C'è stato un errore nell'accesso al numero di versione più recente. Ricerca aggiornamenti interrotta.
lUpdatePrompt	Aggiornare ~1~ dalla v~2~ alla v~3~?
lUpdatePromptBeta	C'è una nuova versione BETA ~1~.`n`nVuoi aggiornare ~1~ dalla v~2~ alla v~3~?
lUpdatePromptBetaContinue	Vuoi continuare ad essere informato di future versioni beta?
lUpdateTitle	Aggiornare ~1~?
lUpdateYouHaveLatest	Hai la versione più recente: ~1~.`n`nVuoi visitare la pagina web ~2~ ugualmente?
lWindowIsTreeviewText	Mi spiace... A causa di una limitazione di  Windows, questo tipo di casella di dialogo (con vista ad albero) non è attualmente supportata da ~1~.
lWindowIsTreeviewTitle	Casella di Dialogo con vista ad albero non supportata
