lAboutText1	~1~ ~2~ (~3~ bits)
lGuiHotkeysHelpText	Seta para baixo: Selecionar próximo favorito`nSeta para cima: Selecionar o favorito anterior`nCtrl-N: Adicionar um novo favorito`nEnter: Editar favorito`n`nShift-Cima/Baixo: Selecionar favoritos adjacentes`nCtrl-Clique: Selecionar favoritos não-adjacentes`nCtrl-A: Selecionar todos os favoritos`n`nCtrl-Baixo: Mover favorito(s) para baixo`nCtrl-Cima: Mover favorito(s) para cima`nDel: Remover favorito(s)`n`nCtrl-Direita: Abrir submenu`nCtrl-Esquerda: Abrir submenu pai
lGuiLvFavoritesHeader	Nome|Local
lGuiMove	Mover
lGuiOptions	Opções
lGuiRemoveFavorite	Remover
lGuiResetDefault	Redefinir tecla de atalho padrão
lGuiSave	&Salvar
lGuiSubmenuDropdownLabel	Menu para editar:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Configurações - ~1~ ~2~
lHelpTabAddingFavorite	Adicionando Favorito
lHelpTabGettingStarted	Começando
lHelpTabTitlesTipsAndTricks	Dicas e Truques
lHelpText1	Ao iniciar, o FoldersPopup adiciona um ícone na área de notificação e aguarda suas ordens. Quando você precisar alterar a pasta atual no Windows Explorer ou em uma caixa de diálogo de arquivo, basta clicar no [~1~] ou pressione [~2~] e, no menu popup, selecione a pasta desejada. O FoldersPopup irá levá-lo lá instantaneamente! Ou use-o para abrir rapidamente um documento ou página da web favorita.
lHelpText2	Escolha "Configurações" para abrir as configurações do FoldersPopup onde você pode adicionar PASTAS, DOCUMENTOS ou LINKS DA WEB favoritos em seu menu. Você pode mover, renomear ou excluir. Você também pode adicionar, mover, renomear ou excluir SUBMENUS. Escolha o "Menu para editar:" na lista suspensa. Clique "Salvar" salvar suas alterações.
lHelpText3	Para ADICIONAR rapidamente uma nova PASTA favorita ao menu popup:`n1) Vá até uma pasta usada com frequência.`n2) Clique em [~1~] (ou pressione [~2~]) e escolha "Adicionar esta Pasta".`n3) Dê um nome curto para a pasta, clique "Adicionar", e então "Salvar" na janela de configurações.
lHelpText4	Para adicionar um novo DOCUMENTO ou LINK DA WEB favorito ao menu popup:`n1) Abra o menu do Folders Popup e escolha "Configurações" (ou pressione [~1~]).`n2) Clique no botão "Adicionar" e escolha a opção "Documento" ou "Link (URL).`n3) Dê um nome curto ao favorito, "Procure" o documento ou entre a URL da página web, clique "Adicionar", e então "Salvar" na janela de configurações.
lHelpText5	No menu da área de notificação, dê um clique com o botão direito no ícone do Folders Popup e marque a opção "Executar na Inicialização" para iniciar o FoldersPopup automaticamente ao iniciar.`n- Precisa abrir uma nova janela de arquivos do Explorer enquanto trabalha em um aplicativo? De qualquer janela, clique [~1~] (ou pressione ~2~), ou simplesmente clique no ícone do FoldersPopup na Área de Notificação, e escolha sua pasta favorita.`n-Escolha o menu "Pastas Recentes..." (ou pressione [~3~]) para exibir uma lista atualizada das pastas recentes do Windows.`n- Use o menu "Pastas Atuais" ([~4~]) para abrir uma das pastas já abertas em uma janela do Explorer ou o menu "Grupos de Pastas" (ou pressione [~5~]) para salvar e restaurar grupos de pastas.`n- Acesse os arquivos ou URLs na sua área de transferência pelo menu "Área de Transferência" (ou pressione [~6~]) ou copie o caminho ou URL de qualquer favorito usando o menu "Copiar Caminho ou URL do Favorito" (ou pressione [~7~]).`n- Configure seus disparadores de menu popup: escolha os botões preferidos do mouse ou atalhos de teclado em "Configurações, Opções".`n- Também em "Opções": escolha seu idioma preferido, tamanho de ícones, cores das janelas. Selecione as opções para exibir pastas recentes, adicione atalhos numéricos do teclado ao menu de pastas ou fixe o menu popup em uma posição fixa.`n-Usuários do Directory Opus, vejam <a href="http://code.jeanlalonde.ca/using-folderspopup-with-directory-opus/">esta página</a> para informações adicionais.`n-Usuários do Total Commander, vejam <a href="http://code.jeanlalonde.ca/using-folderspopup-with-total-commander/">esta página</a> para informações adicionais.
lHelpText6	O suporte para o FoldersPopup está disponível em <a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpTextLead	O FoldersPopup lhe permite mover rapidamente entre suas pastas, documentos e páginas da web mais usadas com frequência!
lHelpTitle	Ajuda - ~1~ ~2~
lMainMenuName	Principal
lMenuAbout	So&bre
lMenuAddThisFolder	Adicionar esta Pasta
lMenuAppData	Dados de Aplicativos
lMenuCache	Cache
lMenuClipboard	Área de Transferência
lMenuColumnBreak	coluna
lMenuCommonAppData	Dados de Aplicativos Comuns
lMenuCommonDesktop	Área de Trabalho Comum
lMenuCommonStartMenu	Menu Iniciar Comum
lMenuCommonStartupMenu	Menu Inicializar Comum
lMenuControlPanel	Painel de &Controle
lMenuCookies	Cookies
lMenuDesktop	Área de Trabalho
lMenuDocuments	D&ocumentos
lMenuDownloads	Downloads
lMenuExitFoldersPopup	Sair do ~1~
lMenuFavoritesInternet	Favoritos (Internet)
lMenuFoldersInExplorer	Pastas Atuais
lMenuFonts	Fontes
lMenuFPMenu	~1~ ~2~
lMenuGroup	Grupos de Pastas
lMenuGroupAdd	adicionar
lMenuGroupReplace	substituir
lMenuGroupSave	Salvar Pastas Atuais como Grupo
lMenuHelp	Ajuda
lMenuHistory	Histórico
lMenuMenu	Menu
lMenuMyComputer	&Meu Computador
lMenuMyMusic	Minhas Músicas
lMenuMySystemMenu	Minhas Pastas Especiais
lMenuMyVideo	Meus Vídeos
lMenuNetworkNeighborhood	Vizi&nhança de Rede
lMenuCopyLocation	Copiar Caminho ou URL do Favorito
lMenuPictures	Imagens
lMenuProgramFiles	Arquivos de Programas
lMenuProgramsFolderStartMenu	Pasta de Programas (Menu Iniciar)
lMenuPublicLibraries	Bibliotecas Públicas
lMenuQuickLaunch	Inicialização Rápida
lMenuRecentFolders	Pastas Recentes
lMenuRecentItems	Itens Recentes
lMenuRecycleBin	Lixei&ra
lMenuRefreshRecent	Atualizando menu de pastas Recente
lMenuRunAtStartup	Executa&r na Inicialização
lMenuSeparator	----------------
lMenuSettings	Configurações do ~1~
lMenuSpecialFolders	Pastas Especiais
lMenuStartMenu	Menu Iniciar
lMenuStartup	Inicialização
lMenuSuspendHotkeys	Teclas de Atalho de Suspensão
lMenuSystemCertificates	Certificados do Sistema
lMenuTemplates	Modelos
lMenuTemporaryFiles	Arquivos Temporários
lMenuUpdate	Verificar at&ualizações
lMenuUserFolder	Pasta do Usuário
lMenuUserPinned	Fixado pelo Usuário
lNavigateFileError	Ocorreu um erro ao abrir a pasta:`n~1~.
lNavigateSpecialError	Ocorreu um erro ao abrir a pasta especial #~1~.
lOopsCouldNotOpenSpecialFolder	O ~1~ não pôde abrir a pasta especial: "~2~".
lOopsDialogBox	A caixa de diálogo
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Parece que o ~1~ está sendo executado de uma pasta PROTEGIDA CONTRA GRAVAÇÃO onde o arquivo de configuração "~1~.ini" não pode ser criado.`n`nMova o arquivo EXE do ~1~ para uma pasta REGULAR de sua escolha e execute-o novamente desta pasta.`n`nO ~1~ irá fechar.
lOopsWrongFPconnectAppPathFilename	Caminho ou nome de arquivo incorreto para o parâmetro "AppPath" na configuração do FPconnect :`n~1~.`n`nVerifique o caminho do arquivo EXE para "AppPath" no arquivo INI do FCConnect:`n~2~
lOopsWrongThirdPartyPath	Caminho ou nome de arquivo incorreto para ~1~:`n~2~.`n`nVerifique o arquivo EXE selecionado para ~1~ em "Opções", aba "~3~".
lOopsZipFileError	Parece que o ~1~ está sendo executado a partir do arquivo ZIP.`n`nVocê deve extrair o executável EXE do ~1~ no arquivo ZIP para uma pasta de sua escolha antes de executá-lo.`n`nO ~1~ irá fechar.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Escolha a combinação de botões e modificadores do MOUSE que irá abrir o menu popup no Windows Explorer ou caixas de diálogo de arquivo. O padrão é o botão do meio do mouse sem nenhuma tecla de modificação.
lOptionsArrDescriptions2	Escolha a combinação de botões e modificadores do MOUSE que irá abrir o menu popup em QUALQUER janela e levará para a pasta selecionada em uma NOVA janela do Windows Explorer. O padrão é o botão do meio do mouse enquanto a tecla Shift é pressionada.
lOptionsArrDescriptions3	Escolha a combinação de teclas de atalho do TECLADO que irá abrir o menu popup na janela ativa do Windows Explorer ou caixa de diálogo de arquivo. O padrão é Windows+A  (a letra "A" enquanto a tecla Windows é pressionada).
lOptionsArrDescriptions4	Escolha a combinação de teclas de atalho do TECLADO que irá abrir o menu popup em QUALQUER janela e levará até a pasta selecionada em uma nova janela do Windows Explorer. O padrão é Shift+Windows+A  (a letra "A" enquanto as teclas Shift e Control são pressionadas).
lOptionsArrDescriptions5	Escolha a combinação de teclas ou botões do mouse que abrirão o menu "Pastas Recentes". O padrão é Shift+Control+R.
lOptionsArrDescriptions6	Escolha a combinação de teclas ou botões do mouse que abrirão a caixa de diálogo "Configurações". O padrão é Shift+Control+S.
lOptionsArrDescriptions7	Escolha a combinação de teclas ou botões do mouse que abrirão o menu "Grupos de Pastas". O padrão é Shift+Control+G.
lOptionsArrDescriptions8	Escolha a combinação de teclas ou botões do mouse que abrirão o menu "Pastas Recentes". O padrão é Shift+Control+R.
lOptionsArrDescriptions9	Escolha a combinação de teclas ou botões do mouse que abrirão o menu "Área de Transferência". O padrão é Shift+Control+C.
lOptionsArrDescriptions10	Escolha a combinação de teclas ou botões do mouse que abrirão o menu "Copiar Local do Favorito". O padrão é Shift+Control+V.
lOptionsChangeHotkey	Alterar
lOptionsChangeHotkeyTitle	Alterar tecla de atalho - ~1~ ~2~
lOptionsCheck4Update	Verificar atualizações
lOptionsCtrl	Control
lOptionsCtrlShort	Ctrl
lOptionsDirectoryOpusUseTabs	Usar abas
lOptionsDisplayClipboardMenu	Área de Transferência
lOptionsDisplayFoldersInExplorerMenu	Pastas Atuais
lOptionsDisplayGroupMenu	&Grupo de Pastas
lOptionsDisplayIcons	Ex&ibir Ícones do Menu
lOptionsDisplayMenus	Exibir Menus:
lOptionsDisplayMenuShortcuts	Exibir Atalhos &Numéricos de Menu
lOptionsDisplayCopyLocationMenu	Copiar Caminho ou URL do Favorito
lOptionsDisplayRecentFolders	Pastas R&ecentes
lOptionsDisplaySpecialFolders	Pastas es&peciais
lOptionsDisplaySpecialMenusShortcuts	Exibir estes atalhos no menu principal
lOptionsGuiTitle	Opções - ~1~ ~2~
lOptionsHotkeys	Outras teclas de atalho
lOptionsIconSize	Tamanho dos ícones no menu
lOptionsKeyboard	Teclado
lOptionsLanguage	Idioma
lOptionsLanguageLabels	Inglês|Francês|Alemão|Holandês|Coreano|Sueco|Italiano|Espanhol|Portoghese (BR)
lOptionsMenuActiveWindow	Canto superior esquerdo da janela ativa
lOptionsMenuFixPosition	Em uma posição fixa
lOptionsMenuNearMouse	Próximo do ponteiro do mouse
lOptionsMenuPositionPrompt	Abrir o menu:
lOptionsMouse	Mouse
lOptionsMouseAndKeyboard	Teclas de atalho do menu
lOptionsMouseButtonsText	Botão Esquerdo do Mouse|Botão do Meio do Mouse|Botão Direito do Mouse|Botão Especial do Mouse 1|Botão Especial do Mouse 2|Roda para Cima|Roda para Baixo|Roda para Esquerda|Roda para Direita|
lOptionsMouseCheckLButton	Você não pode atribuir o "Botão Esquerdo do Mouse" sem modificador.
lOptionsMouseNone	Nenhum
lOptionsOpenMenuOnTaskbar	Abrir menu na barra de tarefas
lOptionsOtherOptions	Geral
lOptionsPopupFixPositionX	Posição X:
lOptionsPopupFixPositionY	Y:
lOptionsRecentFolders	Pastas Recen&tes
lOptionsRememberSettingsPosition	Lembrar posição da janela
lOptionsRunAtStartup	Executa&r na Inicialização
lOptionsShift	Shift
lOptionsSpacebar	usar barra de espaço
lOptionsTabFileManagersIntro	Para usuários de gerenciadores de arquivos de terceiros
lOptionsTabHotkeysIntro	Defina os botões do mouse e teclas de atalho do teclado que irão disparar esta janela ou menus.
lOptionsTabMouseAndKeyboardIntro	Defina os botões do mouse e teclas de atalho do teclado que irão disparar o menu principal do ~1~ (FP).
lOptionsTabOtherOptionsIntro	Faça o ~1~ funcionar do jeito que você gosta!
lOptionsTheme	Tema
lOptionsThirdParty	Suporte para gerenciadores de arquivos
lOptionsThirdPartyDetail	Selecione o arquivo de programa do ~1~ (.exe) para ativar a integração do ~1~.
lOptionsThirdPartyDetailFPconnect	Selecione o arquivo de programa (.exe) do FPconnect para habilitar a integração com outros gerenciadores de arquivos.
lOptionsThirdPartyPrompt	Arquivo de programa:
lOptionsThirdPartyTitle	~1~ usuários
lOptionsThirdPartyTitleFPconnect	Outros usuários de gerenciadores de arquivos usando FPconnect
lOptionsTitles	Botão do mouse para menu do FP para abrir pastas na janela atual do Explorer ou caixa de diálogo|Botão do mouse para menu do FP para abrir pastas em uma nova janela do Explorer|Atalho de teclado para menu FP para abrir pastas na janela atual do Explorer ou caixa de diálogo|Atalho de teclado para menu FP para abrir pastas em uma nova janela do Explorer|Janela de configurações|Menu de pastas atuais|Menu de grupos|Menu de pastas recentes|Menu da área de transferência|Copiar caminho ou URL do favorito
lOptionsTitlesSub	Este botão do mouse pode abrir o menu no Windows Explorer, gerenciador de arquivos de terceiro suportado e janelas de diálogo.|Este botão do mouse pode abrir o menu em qualquer lugar da tela.|Esta tecla pode abrir o menu quando o Windows Explorer, um gerenciador de arquivos de terceiro suportado ou uma janelas de diálogo está ativo.|Esta tecla pode abrir o menu a qualquer momento.|(configurações e opções do menu)|(lista de pastas atualmente abertas no Explorer)|(lista de grupos de pastas)|(lista de locais Recentes do Windows)|(lista de caminhos e URLs na Área de Transferência)|(copiar caminho ou URL do Favorito para a área de transferência)
lOptionsTotalCommanderUseTabs	Usar abas
lOptionsTrayTip	Exibir &Dica na Inicialização
lOptionsTriggerFor	Disparador para:
lOptionsWin	Windows
lOptionsWinShort	Win
lCopyLocationCopiedToClipboard	Caminho ou URL copiado para Área de Transferência
lPickIconNoLocation	Selecione primeiro um favorito antes de escolher um ícone.
lPopupMenuCopyLocationTrayTip	Selecione o favorito para copiar
lReloadPrompt	~1~ foi alterado para ~2~. Deseja reiniciar ~3~ em ~2~ agora? Alterações não salvas no menu de pastas serão perdidas.
lReloadPromptDefaultHotkey	A tecla de atalho foi alterada para o valor padrão. Esta alteração será aplicada somente após reiniciar o ~1~.`n`nDeseja reiniciar o ~1~ agora? Alterações não salvas no menu de pastas serão perdidas.
lTrayTipInstalledDetail	Para exibir o menu ~1~, pressione:`n`n~2~ / ~3~`nno Windows Explorer ou em uma caixa de Diálogo`n`n~4~ / ~5~`npara abrir uma nova janela do Explorer
lTrayTipInstalledTitle	~1~ ~2~ pronto!
lTrayTipNoClipboardMenuDetail	Não há no momento nenhuma pasta, documento, aplicativo ou URL no menu da Área de Transferência
lTrayTipNoClipboardMenuTitle	~1~ - Menu da Área de Transferência
lTrayTipNoFoldersInExplorerMenuDetail	Atualmente não há nenhuma pasta para exibir no menu Pastas Atuais
lTrayTipNoFoldersInExplorerMenuTitle	~1~ - Pastas atuais
lTrayTipWorkingDetail	Criando menus
lTrayTipWorkingDetailFinished	O menu foi atualizado.
lTrayTipWorkingTitle	~1~ ~2~ trabalhando...
lUpdateButtonRemind	Lembrar
lUpdateError	Ocorreu um erro ao acessar o número da última versão. Verificação de atualização interrompida.
lUpdatePrompt	Atualizar o ~1~ da v~2~ para v~3~?
lUpdatePromptBeta	Há uma nova versão BETA do ~1~ .`n`nAtualizar o ~1~ da v~2~ para v~3~?
lUpdatePromptBetaContinue	Ainda deseja ser informado de futuras versões beta?
lUpdateTitle	Atualizar o ~1~?
lUpdateYouHaveLatest	Você possui a versão mais atual: ~1~.`n`nVisitar a página do ~2~ assim mesmo?
lWindowIsTreeviewText	Sorry... Devido a uma limitação do Windows, este tipo de caixa de diálogo (TreeView) não é suportado pelo ~1~ no momento.
lWindowIsTreeviewTitle	Caixa de diálogo de visualização em árvore não suportada
