lAboutText1	~1~ ~2~ (~3~ bits)
lHelpText4	Standardmäßig unterstützt FoldersPopup normale Dialoge (Öffnen, Speichern, usw.). Sie können FoldersPopup jedoch sehr einfach "beibringen", auch andere Dialoge zu erkennen:`n1) Wenn Sie sich in einem nicht unterstützten Dialog befinden, klicken Sie mit der mittleren Maustaste (oder drücken Sie die Tasten Windows-K) und wählen Sie "Diesen Dialog zur unterstützten Liste hinzufügen".`n2 ) Klicken Sie OK und speichern Sie im Einstellungsfenster.
lHelpText5	TIPS UND TRICKS`n- Aktivieren Sie im Tray-Menü die Option "Beim Start ausführen", um FoldersPopup automatisch zu starten.`n- Sie wollen einen oft verwendeten Ordner in einem neuen Explorer-Fenster öffnen? Drücken Sie einfach Shift und die mittlere Maustaste (oder Shift-Windows-K).`n- Konfigurieren Sie Ihre Menü-Tastenkürzel: wählen Sie die bevorzugte Maustaste oder das Tastenkürzel in "Einstellungen-Optionen".`n- Ebenfalls in den Optionen verfügbar: Pinnen Sie das Popup-Menü an einer Stelle fest und fügen Sie Tastenkürzel des Nummernblocks zum Ordnermenü hinzu.
lHelpText6	Support für FoldersPopup gibt es auf`n<a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpText7	~1~ Jean Lalonde 2013-2014. Freeware!
lHelpTextLead	FoldersPopup ermöglicht es, auf schnelle Weise zwischen häufig verwendeten Verzeichnissen zu wechseln!
lHelpTitle	Hilfe - ~1~ ~2~
lMainMenuName	Haupt
lMenuAbout	Ü&ber
lMenuAddThisDialog	Diese Di&alogbox zur Liste unterstützter Dialogboxen hinzufügen
lMenuAddThisFolder	Diesen &Ordner hinzufügen
lMenuControlPanel	&Systemsteuerung
lMenuDesktop	&Desktop
lMenuDialogNotSupported	Diese Dialogbox wird momentan noch nicht unterstützt
lMenuDocuments	D&okumente
lMenuHelp	Hilfe
lMenuMyComputer	&Mein Computer
lMenuNetworkNeighborhood	&Netzwerkumgebung
lMenuPictures	&Bilder
lMenuRecentFolders	&Kürzlich verwendete Ordner
lMenuRecycleBin	&Papierkorb
lMenuReservedShortcuts	OF
lMenuReservedShortcutsRecent	K
lMenuReservedShortcutsSpecial	S
lMenuReservedShortcutsSwitch	ED
lMenuRunAtStartup	&Beim Start von Windows ausführen
lMenuSeparator	----------------
lMenuSettings	&~1~ Einstellungen
lMenuSpecialFolders	&Spezielle Ordner
lMenuSwitchDialog	Sw&itch in &Dialogbox
lMenuSwitchExplorer	Wechseln Sie in &Explorer
lMenuUpdate	Nach &Update suchen
lNavigateFileError	Beim Öffnen des Ordners `n~1~ trat ein Fehler auf.
lNavigateSpecialError	Beim Öffnen des Speziellen Ordners #~1~ trat ein Fehler auf.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Wählen Sie die MAUStaste und die Kombitasten, welche das FoldersPopup Menü im Windows Explorer oder Dateidialogboxen aufruft. Standardmäßig ist dies die mittlere Maustaste ohne zusätzliche Kombitaste.
lOptionsArrDescriptions2	Wählen Sie die MAUStaste und die Kombitasten, welche das FoldersPopup Menü in JEDEM Fenster öffnet und zum gewählten Ordner in einem NEUEN Explorer-Fenster navigiert. Standardmäßig ist dies die mittlere Maustaste mit gedrückter Shift-Taste.
lOptionsArrDescriptions3	Wählen Sie die TASTENkombination, welche das popup menü im Windows Explorer oder Dateidialogboxen aufruft. Standardmäßig ist dies Win+K (Taste K, während die Windows-Taste gdrückt wird).
lOptionsArrDescriptions4	Wählen Sie die TASTENkombination, welche das popup menu Menü in JEDEM Fenster öffnet und zum gewählten Ordner in einem NEUEN Explorer-Fenster navigiert. Standardmäßig ist dies Shift+Win+K (Tasten Shift und K, während die Windows-Taste gedrückt wird).
lOptionsArrDescriptions5	Wählen Sie die Tastenkombination oder Maustasten-Kombination, welche den FoldersPopup Einstellungsdialog aufruft. Standardmäßig ist dies Shift+Windows+F.
lOptionsChangeHotkey	Ändern
lOptionsChangeHotkeyTitle	Tastenkürzel ändern - ~1~ ~2~
lOptionsCtrl	Strg
lOptionsDisplayMenuShortcuts	Zeige &numerische Menü-Tastenkürzel
lOptionsDisplayRecentFolders	Zeige kürzlich verwendete Ordner
lOptionsDisplaySpecialFolders	Zeige S&pezielle Ordner
lOptionsDisplaySwitchMenu	Zeige Switch Menü
lOptionsGuiIntro	Legen Sie die Maustasten und Tastenkürzel fest, welche ~1~ auslösen.
lOptionsGuiTitle	Optionen - ~1~ ~2~
lOptionsKeyboard	Tastatur
lOptionsLanguage	Sprache
lOptionsLanguageLabels	Englisch|Französisch|Deutsch
lOptionsMouse	Maus
lOptionsNoKeyOrMouseSpecified	Kein Tastenkürzel oder Maustaste definiert. Der bestehende Hotkey ~1~ ist unverändert.
lOptionsOtherOptions	Weitere einstellungen
lOptionsPopupFix	Popup-&Menü an fester Position
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsRunAtStartup	Beim Sta&rt ausführen
lOptionsShift	Shift
lOptionsTitles	Maus - Ordner Popup|Maus - Neu Explorer|Tastatur - Ordner Popup|Tastatur - Neu Explorer|Einstellungsfenster
lOptionsTrayTip	Beim Start &Tray-Tip anzeigen
lOptionsTriggerFor	Auslöser für:
lOptionsWin	Win
lReloadPrompt	Language changed to ~1~. Do you want to reload ~2~ in ~1~ now? Unsaved changes to the folders menu will be lost.
lTrayTipInstalledDetail	Zur Anzeige des ~1~ Menüs`nim Windows Explorer oder einer Dialogbox`n~2~ oder ~3~ drücken.`n`n~4~ oder ~5~`num ein neues Explorer-Fenster zu öffnen.
lTrayTipinstalledTitle	~1~ ~2~ bereit!
lUpdatePrompt	Update ~1~ von v~2~ auf v~3~?
lUpdateTitle	Update ~1~?
lUpdateYouHaveLatest	Sie verwenden die aktuellste Version: ~1~.`n`nTrotzdem die ~2~ Webseite besuchen?
